"10022","CRUSTACEANS","LOBSTERS","Crustacés"
"10969","CATTLE","BEEF CATTLE","Bétails"
"10969","CATTLE","BULLS","Bétails"
"10969","CATTLE","CALVES","Bétails"
"10969","CATTLE","COWS-DRY","Bétails"
"10969","CATTLE","REPLACEMENT HEIFERS","Bétails"
"10969","HORSES","","Cheveaux"
"10969","SHEEP","","Mouton"
"10969","SWINE (PIGS)","","Porcs"
"11002","CATTLE","","Bétails"
"11002","DOGS","","Chiens"
"11002","HORSES","","Cheveaux"
"11002","SHEEP","LAMB","Mouton"
"11002","SWINE (PIGS)","","Porcs"
"11003","CATTLE","","Bétails"
"11003","HORSES","","Cheveaux"
"11003","SHEEP","","Mouton"
"11013","POULTRY","CHICKENS","Volaille"
"11013","POULTRY","TURKEYS","Volaille"
"11013","SWINE (PIGS)","","Porcs"
"11014","POULTRY","CHICKENS","Volaille"
"11014","SWINE (PIGS)","","Porcs"
"11026","HORSES","","Cheveaux"
"11033","CATTLE","BEEF CATTLE","Bétails"
"11061","GENERAL - MISC.","","Général-Misc"
"11067","WILD/MISCELLANEOUS","CARIBOU","Sauvage/Divers"
"11067","WILD/MISCELLANEOUS","ELK","Sauvage/Divers"
"11067","WILD/MISCELLANEOUS","WHITE-TAILED DEER","Sauvage/Divers"
"11110","CATTLE","COWS-NON LACTATING","Bétails"
"11110","HORSES","","Cheveaux"
"11110","POULTRY","CHICKENS","Volaille"
"11110","POULTRY","TURKEYS","Volaille"
"11110","SHEEP","","Mouton"
"11110","SWINE (PIGS)","","Porcs"
"11112","DOG OR CAT","","Chien Ou Chat"
"11126","CATS","","Chats"
"11126","DOGS","","Chiens"
"11147","CATTLE","","Bétails"
"11147","GOATS","","Chèvres"
"11147","POULTRY","","Volaille"
"11147","SWINE (PIGS)","","Porcs"
"11205","CATTLE","","Bétails"
"11221","DOGS","","Chiens"
"11289","CATTLE","CALVES","Bétails"
"11289","HORSES","FOALS","Cheveaux"
"11289","SWINE (PIGS)","","Porcs"
"1129","CATS","","Chats"
"1129","CATTLE","","Bétails"
"1129","DOGS","","Chiens"
"1129","HORSES","","Cheveaux"
"1135","CATS","","Chats"
"1135","CATTLE","BEEF CATTLE","Bétails"
"1135","CATTLE","BULLS","Bétails"
"1135","CATTLE","CALVES","Bétails"
"1135","CATTLE","COWS-DRY","Bétails"
"1135","CATTLE","REPLACEMENT HEIFERS","Bétails"
"1135","DOGS","","Chiens"
"1135","HORSES","","Cheveaux"
"1135","SHEEP","LAMB","Mouton"
"1135","SWINE (PIGS)","","Porcs"
"1136","CATTLE","","Bétails"
"1136","GOATS","","Chèvres"
"1136","SHEEP","","Mouton"
"1137","HORSES","","Cheveaux"
"1138","CATS","","Chats"
"1138","DOGS","","Chiens"
"11382","CATTLE","CALVES","Bétails"
"11386","CATTLE","","Bétails"
"1139","HORSES","","Cheveaux"
"1140","CATTLE","","Bétails"
"11419","CATTLE","CALVES","Bétails"
"11419","POULTRY","CHICKENS","Volaille"
"11419","POULTRY","TURKEYS","Volaille"
"11419","SWINE (PIGS)","","Porcs"
"1142","CATTLE","","Bétails"
"1145","CATTLE","COWS-LACTATING","Bétails"
"1145","POULTRY","BROILER CHICKENS","Volaille"
"1145","POULTRY","REPLACEMENT CHICKENS","Volaille"
"1145","SHEEP","LAMB","Mouton"
"1145","SWINE (PIGS)","","Porcs"
"11455","CATS","","Chats"
"11455","DOGS","","Chiens"
"11544","HORSES","","Cheveaux"
"11588","POULTRY","BREEDER CHICKENS","Volaille"
"11588","POULTRY","BROILER CHICKENS","Volaille"
"11588","POULTRY","REPLACEMENT CHICKENS","Volaille"
"11588","POULTRY","TURKEYS","Volaille"
"11589","POULTRY","CHICKENS","Volaille"
"11589","POULTRY","TURKEYS","Volaille"
"11621","DOGS","","Chiens"
"11622","CATS","","Chats"
"11622","DOGS","","Chiens"
"11631","CATS","","Chats"
"11631","CATTLE","CALVES","Bétails"
"11631","DOGS","","Chiens"
"11631","HORSES","","Cheveaux"
"11638","DOG OR CAT","","Chien Ou Chat"
"11639","DOGS","","Chiens"
"11683","SWINE (PIGS)","PIGLETS","Porcs"
"11684","HORSES","","Cheveaux"
"11690","CATTLE","","Bétails"
"11690","HORSES","","Cheveaux"
"11690","SHEEP","","Mouton"
"11690","SWINE (PIGS)","","Porcs"
"11710","SWINE (PIGS)","","Porcs"
"11711","CATTLE","COWS-LACTATING","Bétails"
"11713","CATTLE","BEEF CATTLE","Bétails"
"11713","CATTLE","BULLS","Bétails"
"11713","CATTLE","CALVES","Bétails"
"11713","CATTLE","COWS-DRY","Bétails"
"11713","CATTLE","REPLACEMENT HEIFERS","Bétails"
"11737","CATTLE","","Bétails"
"11788","CATS","","Chats"
"11788","DOGS","","Chiens"
"11789","CATTLE","","Bétails"
"11792","CATS","","Chats"
"11792","CATTLE","","Bétails"
"11792","DOGS","","Chiens"
"11792","HORSES","","Cheveaux"
"11792","SHEEP","","Mouton"
"11792","SWINE (PIGS)","","Porcs"
"11799","CATTLE","BEEF CATTLE","Bétails"
"11799","CATTLE","CALVES","Bétails"
"11799","CATTLE","REPLACEMENT HEIFERS","Bétails"
"11808","HORSES","","Cheveaux"
"11809","CATTLE","BEEF CATTLE","Bétails"
"11809","CATTLE","CALVES","Bétails"
"11809","POULTRY","CHICKENS","Volaille"
"11809","POULTRY","TURKEYS","Volaille"
"11809","SHEEP","LAMB","Mouton"
"11809","SWINE (PIGS)","","Porcs"
"11823","DOGS","","Chiens"
"11835","CATS","","Chats"
"11835","DOGS","","Chiens"
"11836","CATTLE","BEEF CATTLE","Bétails"
"11837","CATS","","Chats"
"11837","DOGS","","Chiens"
"11838","CATS","","Chats"
"11838","DOGS","","Chiens"
"11867","DOGS","","Chiens"
"11871","CATTLE","","Bétails"
"11874","HORSES","","Cheveaux"
"11875","HORSES","","Cheveaux"
"11876","CATS","","Chats"
"11876","DOGS","","Chiens"
"1189","HORSES","","Cheveaux"
"11890","CATS","","Chats"
"11890","DOGS","","Chiens"
"11905","CATTLE","CALVES","Bétails"
"11920","CATTLE","","Bétails"
"11920","HORSES","","Cheveaux"
"11920","SWINE (PIGS)","","Porcs"
"11924","HORSES","","Cheveaux"
"11925","DOGS","","Chiens"
"11973","CATTLE","","Bétails"
"11973","SWINE (PIGS)","","Porcs"
"120","CATTLE","BEEF CATTLE","Bétails"
"120","SWINE (PIGS)","","Porcs"
"1206","CATTLE","","Bétails"
"1206","DOG OR CAT","","Chien Ou Chat"
"1206","HORSES","","Cheveaux"
"1206","SHEEP","","Mouton"
"1206","SWINE (PIGS)","","Porcs"
"1207","CATTLE","","Bétails"
"1207","SHEEP","","Mouton"
"121","POULTRY","BROILER CHICKENS","Volaille"
"121","POULTRY","REPLACEMENT CHICKENS","Volaille"
"121","POULTRY","TURKEYS","Volaille"
"121","SWINE (PIGS)","","Porcs"
"1210","CATTLE","","Bétails"
"1210","CHINCHILLA, MINK","","Chinchilla, Vison"
"1210","DOG OR CAT","","Chien Ou Chat"
"1210","GENERAL - MISC.","","Général-Misc"
"1210","HORSES","","Cheveaux"
"1210","RABBIT","","Lapin"
"1210","SHEEP","","Mouton"
"1210","SWINE (PIGS)","","Porcs"
"1210","WILD ANIMALS (DEER, MOOSE, BISON)","","Animaux Sauvages (Cerf, Orignial, Bison)"
"1211","SWINE (PIGS)","PIGLETS","Porcs"
"12146","CATTLE","","Bétails"
"12173","CATTLE","COWS-LACTATING","Bétails"
"12174","DOGS","","Chiens"
"1218","CATS","","Chats"
"1218","CATTLE","","Bétails"
"1218","DOGS","","Chiens"
"1218","GOATS","","Chèvres"
"1218","HORSES","","Cheveaux"
"1218","SHEEP","","Mouton"
"1218","SWINE (PIGS)","","Porcs"
"12183","CATS","","Chats"
"12183","CATTLE","","Bétails"
"12183","DOGS","","Chiens"
"12183","GOATS","","Chèvres"
"12183","HORSES","","Cheveaux"
"12183","SHEEP","","Mouton"
"12183","SWINE (PIGS)","","Porcs"
"12183","WILD/MISCELLANEOUS","","Sauvage/Divers"
"12184","CATTLE","","Bétails"
"12184","DOG OR CAT","","Chien Ou Chat"
"12184","HORSES","","Cheveaux"
"12184","SHEEP","","Mouton"
"12184","SWINE (PIGS)","","Porcs"
"1219","HORSES","","Cheveaux"
"12193","CATS","","Chats"
"12193","DOGS","","Chiens"
"12193","HORSES","","Cheveaux"
"122","DOG OR CAT","","Chien Ou Chat"
"12204","DOGS","","Chiens"
"12205","DOGS","","Chiens"
"12206","CATS","","Chats"
"12222","CATS","","Chats"
"12222","DOGS","","Chiens"
"12228","POULTRY","BROILER CHICKENS","Volaille"
"12238","CATS","","Chats"
"12238","DOGS","","Chiens"
"12243","HORSES","","Cheveaux"
"1226","FINFISH","AQUARIUM FISH","Poisson À Nageoires"
"12260","DOG OR CAT","","Chien Ou Chat"
"123","CATS","","Chats"
"123","DOGS","","Chiens"
"12324","CATS","","Chats"
"12324","DOGS","","Chiens"
"12324","HORSES","","Cheveaux"
"12328","HORSES","","Cheveaux"
"12329","CATTLE","DAIRY CATTLE","Bétails"
"12563","HORSES","","Cheveaux"
"12576","HORSES","","Cheveaux"
"12577","CATTLE","","Bétails"
"12577","HORSES","","Cheveaux"
"12577","SHEEP","","Mouton"
"12577","SWINE (PIGS)","","Porcs"
"12609","CATS","","Chats"
"12618","WILD/MISCELLANEOUS","GUINEA PIGS","Sauvage/Divers"
"12618","WILD/MISCELLANEOUS","PRIMATES (NON-HUMAN)","Sauvage/Divers"
"12642","CATS","","Chats"
"12642","DOGS","","Chiens"
"12660","HORSES","","Cheveaux"
"1267","SWINE (PIGS)","","Porcs"
"12682","SWINE (PIGS)","","Porcs"
"12683","DOGS","","Chiens"
"12686","DOGS","","Chiens"
"12715","HORSES","","Cheveaux"
"12737","CATTLE","","Bétails"
"12738","CATTLE","","Bétails"
"12738","HORSES","","Cheveaux"
"12794","CATTLE","","Bétails"
"12794","HORSES","","Cheveaux"
"12794","SHEEP","LAMB","Mouton"
"12794","SWINE (PIGS)","","Porcs"
"12795","CATTLE","","Bétails"
"12795","GOATS","","Chèvres"
"12795","SHEEP","","Mouton"
"12795","WILD/MISCELLANEOUS","","Sauvage/Divers"
"12796","CATTLE","DAIRY CATTLE","Bétails"
"12796","HORSES","","Cheveaux"
"12796","SHEEP","","Mouton"
"12796","SWINE (PIGS)","","Porcs"
"12797","CATS","","Chats"
"12797","CATTLE","","Bétails"
"12797","DOGS","","Chiens"
"12797","GOATS","","Chèvres"
"12797","HORSES","","Cheveaux"
"12797","SHEEP","","Mouton"
"12797","SWINE (PIGS)","","Porcs"
"12799","CATTLE","","Bétails"
"12799","HORSES","","Cheveaux"
"12799","SHEEP","","Mouton"
"12800","CATTLE","DAIRY CATTLE","Bétails"
"12801","CATTLE","DAIRY CATTLE","Bétails"
"12802","SWINE (PIGS)","PIGLETS","Porcs"
"12809","CATS","","Chats"
"12809","CATTLE","","Bétails"
"12809","DOGS","","Chiens"
"12809","HORSES","","Cheveaux"
"12809","SHEEP","LAMB","Mouton"
"12809","SWINE (PIGS)","","Porcs"
"12813","DOGS","","Chiens"
"12814","DOGS","","Chiens"
"12820","CATTLE","","Bétails"
"12820","HORSES","","Cheveaux"
"12820","POULTRY","","Volaille"
"12821","CATTLE","","Bétails"
"12821","POULTRY","","Volaille"
"12821","SWINE (PIGS)","","Porcs"
"12832","CATTLE","","Bétails"
"12832","HORSES","","Cheveaux"
"12832","SHEEP","","Mouton"
"12832","SWINE (PIGS)","","Porcs"
"12848","HORSES","","Cheveaux"
"12863","CATS","","Chats"
"12863","DOGS","","Chiens"
"12874","CATTLE","","Bétails"
"12874","SHEEP","LAMB","Mouton"
"12876","CATTLE","","Bétails"
"12876","DOG OR CAT","","Chien Ou Chat"
"12876","HORSES","","Cheveaux"
"12876","SWINE (PIGS)","","Porcs"
"12890","DOG OR CAT","","Chien Ou Chat"
"12901","CATTLE","","Bétails"
"12901","SHEEP","LAMB","Mouton"
"12901","SWINE (PIGS)","","Porcs"
"12902","CATTLE","","Bétails"
"12902","POULTRY","","Volaille"
"12902","SWINE (PIGS)","","Porcs"
"12912","POULTRY","","Volaille"
"12912","SWINE (PIGS)","","Porcs"
"12921","CATTLE","BEEF CATTLE","Bétails"
"12921","CATTLE","CALVES","Bétails"
"12921","CATTLE","COWS-LACTATING","Bétails"
"12921","HORSES","","Cheveaux"
"12921","POULTRY","BREEDER CHICKENS","Volaille"
"12921","POULTRY","BROILER CHICKENS","Volaille"
"12921","POULTRY","REPLACEMENT CHICKENS","Volaille"
"12921","SHEEP","","Mouton"
"12921","SWINE (PIGS)","","Porcs"
"12931","HORSES","","Cheveaux"
"12932","CATTLE","","Bétails"
"12932","SHEEP","LAMB","Mouton"
"12932","SWINE (PIGS)","","Porcs"
"12935","CATTLE","","Bétails"
"12949","CATTLE","","Bétails"
"12949","HORSES","","Cheveaux"
"12963","HORSES","","Cheveaux"
"13000","CATTLE","","Bétails"
"13000","HORSES","","Cheveaux"
"13000","SHEEP","","Mouton"
"13020","CATTLE","CALVES","Bétails"
"13020","SHEEP","LAMB","Mouton"
"13028","CATTLE","COWS-LACTATING","Bétails"
"13028","SHEEP","LAMB","Mouton"
"13028","SWINE (PIGS)","","Porcs"
"13029","CATTLE","BEEF CATTLE","Bétails"
"13029","CATTLE","COWS-DRY","Bétails"
"13029","SWINE (PIGS)","","Porcs"
"13031","DOGS","","Chiens"
"13032","HORSES","","Cheveaux"
"13091","CATS","","Chats"
"13091","CATTLE","","Bétails"
"13091","DOGS","","Chiens"
"13091","GOATS","","Chèvres"
"13091","HORSES","","Cheveaux"
"13091","SHEEP","","Mouton"
"13091","SWINE (PIGS)","","Porcs"
"13110","HORSES","","Cheveaux"
"13123","HORSES","","Cheveaux"
"13171","DOGS","","Chiens"
"1321","DOG OR CAT","","Chien Ou Chat"
"1322","CATTLE","","Bétails"
"1322","SHEEP","","Mouton"
"1323","CATTLE","","Bétails"
"1323","POULTRY","","Volaille"
"1323","SHEEP","","Mouton"
"1323","SWINE (PIGS)","","Porcs"
"13231","HORSES","","Cheveaux"
"13234","DOGS","","Chiens"
"13234","HORSES","","Cheveaux"
"1324","HORSES","","Cheveaux"
"1325","CATTLE","","Bétails"
"1325","DOG OR CAT","","Chien Ou Chat"
"1325","HORSES","","Cheveaux"
"13279","CATTLE","","Bétails"
"13292","CATTLE","CALVES","Bétails"
"13292","POULTRY","","Volaille"
"13292","SWINE (PIGS)","","Porcs"
"13321","SWINE (PIGS)","","Porcs"
"13353","CATTLE","","Bétails"
"13367","HORSES","","Cheveaux"
"13368","HORSES","","Cheveaux"
"13378","CATTLE","DAIRY CATTLE","Bétails"
"1344","CATTLE","","Bétails"
"1344","DOGS","","Chiens"
"1344","HORSES","","Cheveaux"
"13455","HORSES","","Cheveaux"
"13456","CATTLE","","Bétails"
"13456","HORSES","","Cheveaux"
"13456","SHEEP","","Mouton"
"13456","SWINE (PIGS)","","Porcs"
"13456","WILD/MISCELLANEOUS","","Sauvage/Divers"
"13465","HORSES","","Cheveaux"
"13542","CATS","","Chats"
"13542","DOGS","","Chiens"
"13543","DOGS","","Chiens"
"13544","DOGS","","Chiens"
"13556","POULTRY","REPLACEMENT CHICKENS","Volaille"
"13567","POULTRY","BROILER CHICKENS","Volaille"
"13575","CATTLE","","Bétails"
"13575","HORSES","","Cheveaux"
"13575","POULTRY","CHICKENS","Volaille"
"13575","POULTRY","TURKEYS","Volaille"
"13575","SWINE (PIGS)","","Porcs"
"13576","CATS","","Chats"
"13576","DOGS","","Chiens"
"13590","CATTLE","CALVES","Bétails"
"13620","DOGS","","Chiens"
"13640","CATTLE","CALVES","Bétails"
"13650","HORSES","","Cheveaux"
"13653","POULTRY","TURKEYS","Volaille"
"13664","CATTLE","BEEF CATTLE","Bétails"
"13664","CATTLE","BULLS","Bétails"
"13664","CATTLE","CALVES","Bétails"
"13664","CATTLE","COWS-DRY","Bétails"
"13664","CATTLE","REPLACEMENT HEIFERS","Bétails"
"13664","SWINE (PIGS)","","Porcs"
"13676","POULTRY","CHICKENS","Volaille"
"13676","SWINE (PIGS)","","Porcs"
"13695","DOGS","","Chiens"
"13697","SWINE (PIGS)","","Porcs"
"13698","CATTLE","BEEF CATTLE","Bétails"
"13698","CATTLE","BULLS","Bétails"
"13698","CATTLE","CALVES","Bétails"
"13698","CATTLE","COWS-DRY","Bétails"
"13698","CATTLE","REPLACEMENT HEIFERS","Bétails"
"13703","DOGS","","Chiens"
"13744","CATTLE","CALVES","Bétails"
"13744","SHEEP","LAMB","Mouton"
"13750","CATTLE","CALVES","Bétails"
"13750","POULTRY","BREEDER CHICKENS","Volaille"
"13750","POULTRY","BROILER CHICKENS","Volaille"
"13750","POULTRY","DUCKS","Volaille"
"13750","POULTRY","GEESE","Volaille"
"13750","POULTRY","REPLACEMENT CHICKENS","Volaille"
"13750","POULTRY","TURKEYS","Volaille"
"13750","SHEEP","LAMB","Mouton"
"13750","SWINE (PIGS)","","Porcs"
"13750","WILD/MISCELLANEOUS","MINK","Sauvage/Divers"
"13753","CATTLE","","Bétails"
"13753","HORSES","","Cheveaux"
"13755","CATS","","Chats"
"13755","DOGS","","Chiens"
"13755","HORSES","","Cheveaux"
"13756","CATTLE","","Bétails"
"13756","HORSES","","Cheveaux"
"13756","SWINE (PIGS)","","Porcs"
"13757","CATTLE","","Bétails"
"13757","HORSES","","Cheveaux"
"13757","SWINE (PIGS)","","Porcs"
"13758","CATS","","Chats"
"13758","CATTLE","","Bétails"
"13758","DOGS","","Chiens"
"13758","HORSES","","Cheveaux"
"13758","SHEEP","","Mouton"
"13758","SWINE (PIGS)","","Porcs"
"13768","HORSES","","Cheveaux"
"13790","CATTLE","BEEF CATTLE","Bétails"
"13790","CATTLE","BULLS","Bétails"
"13790","CATTLE","CALVES","Bétails"
"13790","CATTLE","COWS-DRY","Bétails"
"13790","CATTLE","REPLACEMENT HEIFERS","Bétails"
"13790","SHEEP","LAMB","Mouton"
"13790","SWINE (PIGS)","","Porcs"
"13793","HORSES","","Cheveaux"
"13794","CATS","","Chats"
"13794","DOGS","","Chiens"
"1382","HORSES","","Cheveaux"
"13821","CATS","","Chats"
"13821","DOGS","","Chiens"
"13821","HORSES","","Cheveaux"
"1383","CATTLE","","Bétails"
"1383","HORSES","","Cheveaux"
"1383","WILD/MISCELLANEOUS","","Sauvage/Divers"
"13832","BIRDS","WILD/GAME BIRDS","Oiseaux"
"1384","HORSES","","Cheveaux"
"13845","BIRDS","WILD/GAME BIRDS","Oiseaux"
"1385","CATS","","Chats"
"1385","CATTLE","","Bétails"
"1385","DOGS","","Chiens"
"1385","HORSES","","Cheveaux"
"13856","CATTLE","","Bétails"
"13856","HORSES","","Cheveaux"
"13856","SWINE (PIGS)","","Porcs"
"13862","HORSES","","Cheveaux"
"13901","CATTLE","CALVES","Bétails"
"13925","HORSES","","Cheveaux"
"13927","WILD/MISCELLANEOUS","GUINEA PIGS","Sauvage/Divers"
"13927","WILD/MISCELLANEOUS","PRIMATES (NON-HUMAN)","Sauvage/Divers"
"13965","CATTLE","CALVES","Bétails"
"13976","DOGS","","Chiens"
"13977","HORSES","","Cheveaux"
"13989","CATTLE","BEEF CATTLE","Bétails"
"13989","CATTLE","CALVES","Bétails"
"13989","POULTRY","CHICKENS","Volaille"
"13989","POULTRY","TURKEYS","Volaille"
"13989","SHEEP","LAMB","Mouton"
"13989","SWINE (PIGS)","","Porcs"
"1407","CATTLE","","Bétails"
"1407","DOG OR CAT","","Chien Ou Chat"
"1407","HORSES","","Cheveaux"
"1407","SHEEP","","Mouton"
"1408","DOG OR CAT","","Chien Ou Chat"
"1408","HORSES","","Cheveaux"
"1409","DOG OR CAT","","Chien Ou Chat"
"1409","HORSES","","Cheveaux"
"14119","CATTLE","","Bétails"
"14119","HORSES","","Cheveaux"
"14119","POULTRY","CHICKENS","Volaille"
"14119","POULTRY","TURKEYS","Volaille"
"14119","SHEEP","","Mouton"
"14119","SWINE (PIGS)","","Porcs"
"14121","CATTLE","","Bétails"
"14121","HORSES","","Cheveaux"
"14121","SHEEP","","Mouton"
"14122","CATTLE","","Bétails"
"14122","HORSES","","Cheveaux"
"14122","SHEEP","","Mouton"
"14123","HORSES","","Cheveaux"
"14159","HORSES","","Cheveaux"
"14220","HORSES","","Cheveaux"
"14254","CATTLE","","Bétails"
"14254","HORSES","","Cheveaux"
"14338","CATS","","Chats"
"14338","CATTLE","","Bétails"
"14338","DOGS","","Chiens"
"14338","HORSES","","Cheveaux"
"14338","SHEEP","","Mouton"
"14338","SWINE (PIGS)","","Porcs"
"14349","SWINE (PIGS)","","Porcs"
"14350","SWINE (PIGS)","","Porcs"
"14404","CATS","","Chats"
"14404","CATTLE","","Bétails"
"14404","DOGS","","Chiens"
"14404","HORSES","","Cheveaux"
"14404","SWINE (PIGS)","","Porcs"
"14405","POULTRY","CHICKENS","Volaille"
"14405","POULTRY","TURKEYS","Volaille"
"14406","BIRDS","","Oiseaux"
"14406","CATS","","Chats"
"14406","DOGS","","Chiens"
"14406","SWINE (PIGS)","","Porcs"
"14410","HORSES","","Cheveaux"
"14479","CATS","","Chats"
"14479","CATTLE","","Bétails"
"14479","DOGS","","Chiens"
"14479","HORSES","","Cheveaux"
"14479","SWINE (PIGS)","","Porcs"
"14480","CATTLE","CALVES","Bétails"
"14480","HORSES","FOALS","Cheveaux"
"14498","HORSES","","Cheveaux"
