"31","A11EX","VITAMIN B-COMPLEX, OTHER COMBINATIONS","88:08.00","VITAMIN B COMPLEX","",""
"2059","N05AG02","PIMOZIDE","28:16.08.92","MISCELLANEOUS ANTIPSYCHOTICS","",""
"2072","D02AF","SALICYLIC ACID PREPARATIONS","84:28.00","KERATOLYTIC AGENTS","",""
"2091","A10BB02","CHLORPROPAMIDE","68:20.20","SULFONYLUREAS","",""
"2199","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2283","B03BB01","FOLIC ACID","88:08.00","VITAMIN B COMPLEX","",""
"2305","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2401","J04AC01","ISONIAZID","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"2389","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2396","J04AC51","ISONIAZID, COMBINATIONS","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"2400","J04AC01","ISONIAZID","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"2404","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2406","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2553","J04AC01","ISONIAZID","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"2589","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2658","A10BB02","CHLORPROPAMIDE","68:20.20","SULFONYLUREAS","",""
"2809","J01DB01","CEFALEXIN","08:12.06.04","FIRST GENERATION CEPHALOSPORINS","",""
"2747","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2792","L01BC01","CYTARABINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"2793","L01BC01","CYTARABINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"2811","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"2865","J04AC01","ISONIAZID","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"2908","A07EC01","SULFASALAZINE","08:12.20","SULFONAMIDES","",""
"2966","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"3329","G04BX06","PHENAZOPYRIDINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"3093","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"3266","R06AA02","DIPHENHYDRAMINE","04:04.04","ETHANOLAMINE DERIVATIVES","",""
"3276","D04AB30","TOPICAL ANESTHETICS, COMBINATIONS","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"3311","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS","",""
"3413","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"3455","R03DA04","THEOPHYLLINE","86:16.00","RESPIRATORY SMOOTH MUSCLE RELAXANTS","",""
"3456","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"3497","A11EA","VITAMIN B-COMPLEX, PLAIN","88:08.00","VITAMIN B COMPLEX","",""
"3498","A11HA04","RIBOFLAVIN (VIT B2)","88:08.00","VITAMIN B COMPLEX","",""
"3499","C04AC01","NICOTINIC ACID","88:08.00","VITAMIN B COMPLEX","",""
"3500","B03BA01","CYANOCOBALAMIN","88:08.00","VITAMIN B COMPLEX","",""
"3501","A11HA02","PYRIDOXINE (VIT B6)","88:08.00","VITAMIN B COMPLEX","",""
"3502","B03BA03","HYDROXOCOBALAMIN","88:08.00","VITAMIN B COMPLEX","",""
"3503","A11DA01","THIAMINE (VIT B1)","88:08.00","VITAMIN B COMPLEX","",""
"3535","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"3656","N05BA04","OXAZEPAM","28:24.08","BENZODIAZEPINES","",""
"3657","N05BA04","OXAZEPAM","28:24.08","BENZODIAZEPINES","",""
"3658","N05BA04","OXAZEPAM","28:24.08","BENZODIAZEPINES","",""
"3805","N01BB53","MEPIVACAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"3732","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"3756","G03CA","NATURAL AND SEMISYNTHETIC ESTROGENS, PLAIN","68:16.04","ESTROGENS","",""
"3778","B03BB01","FOLIC ACID","88:08.00","VITAMIN B COMPLEX","",""
"3810","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"3811","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"3812","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"3918","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"3919","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"3920","N03AF01","CARBAMAZEPINE","28:12.92","MISCELLANEOUS ANTICONVULSANTS","",""
"3921","A11HA01","NICOTINAMIDE","88:08.00","VITAMIN B COMPLEX","",""
"3922","B05XA05","MAGNESIUM SULPHATE","28:12.92","MISCELLANEOUS ANTICONVULSANTS","",""
"3966","R03DA02","CHOLINE THEOPHYLLINATE","86:16.00","RESPIRATORY SMOOTH MUSCLE RELAXANTS","",""
"4008","N04BA02","LEVODOPA AND DECARBOXYLASE INHIBITOR","28:36.16","DOPAMINE PRECURSORS","",""
"4199","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"4071","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"4133","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"4201","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"4252","R05FA02","OPIUM DERIVATIVES AND EXPECTORANTS","48:08.00","ANTITUSSIVES","",""
"4260","G04BX06","PHENAZOPYRIDINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"4582","N03AF01","CARBAMAZEPINE","28:12.92","MISCELLANEOUS ANTICONVULSANTS","",""
"4538","J01XX05","METHENAMINE","08:36.00","URINARY ANTI-INFECTIVES","",""
"4545","N05CD01","FLURAZEPAM","28:24.08","BENZODIAZEPINES","",""
"4546","N05CD01","FLURAZEPAM","28:24.08","BENZODIAZEPINES","",""
"4739","A12BA01","POTASSIUM CHLORIDE","40:12.00","REPLACEMENT PREPARATIONS","",""
"4761","A12AA20","CALCIUM (DIFFERENT SALTS IN COMBINATION)","40:12.00","REPLACEMENT PREPARATIONS","",""
"4791","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"4792","V07AB","SOLVENTS AND DILUTING AGENTS,INCL IRRIGAT SOLUT","40:50.00*","DILUENTS","",""
"4916","B01AC07","DIPYRIDAMOLE","24:12.92","MISCELLANEOUS VASODILATATING AGENTS","",""
"4886","R01AX10","VARIOUS","52:92.00","EENT DRUGS, MISCELLANEOUS","",""
"4915","B01AC07","DIPYRIDAMOLE","24:12.92","MISCELLANEOUS VASODILATATING AGENTS","",""
"5088","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"5132","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"5197","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"5262","L01XX01","AMSACRINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"5276","A05AB","PREPARATIONS FOR BILIARY TRACT THERAPY","56:16.01*","CHOLERETIC","",""
"5307","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"5308","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"5309","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"5310","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"5357","C02CA01","PRAZOSIN","24:20.00","ALPHA-ADRENERGIC BLOCKING AGENTS","",""
"5358","C02CA01","PRAZOSIN","24:20.00","ALPHA-ADRENERGIC BLOCKING AGENTS","",""
"5359","C02CA01","PRAZOSIN","24:20.00","ALPHA-ADRENERGIC BLOCKING AGENTS","",""
"5368","R06AD02","PROMETHAZINE","04:04.12","PHENOTHIAZINE DERIVATIVES","",""
"5431","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"5431","R05DA20","COMBINATIONS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"5434","A02BA01","CIMETIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"5435","A02BA01","CIMETIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"5475","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"5475","R05DA20","COMBINATIONS","04:04.04","ETHANOLAMINE DERIVATIVES","",""
"5545","V03AN01","OXYGEN","92:00.00","MISCELLANEOUS THERAPEUTIC AGENTS","",""
"5674","J01CF02","CLOXACILLIN","08:12.16.12","PENICILLINASE-RESISTANT PENICILLINS","",""
"5673","J01CF02","CLOXACILLIN","08:12.16.12","PENICILLINASE-RESISTANT PENICILLINS","",""
"5704","R03DA05","AMINOPHYLLINE","86:16.00","RESPIRATORY SMOOTH MUSCLE RELAXANTS","",""
"5721","R06AD02","PROMETHAZINE","04:04.12","PHENOTHIAZINE DERIVATIVES","",""
"5722","J01XD01","METRONIDAZOLE","08:30.92","MISCELLANEOUS ANTIPROTOZOALS","",""
"5724","N04AC01","BENZATROPINE","28:36.08","ANTICHOLINERGIC AGENTS","",""
"5725","N04AA04","PROCYCLIDINE","28:36.08","ANTICHOLINERGIC AGENTS","",""
"5826","H02AB07","PREDNISONE","68:04.00","ADRENALS","",""
"5885","R06AA02","DIPHENHYDRAMINE","56:22.08","ANTIHISTAMINES","",""
"5893","B01AC07","DIPYRIDAMOLE","24:12.92","MISCELLANEOUS VASODILATATING AGENTS","",""
"5918","M01AB01","INDOMETACIN","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"5919","M01AB01","INDOMETACIN","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"5936","N02AA03","HYDROMORPHONE","28:08.08","OPIATE AGONISTS","",""
"5937","N02AA03","HYDROMORPHONE","28:08.08","OPIATE AGONISTS","",""
"5951","V04CX","OTHER DIAGNOSTIC AGENTS","36:89.00*","OTHER DIAGNOSTICS","",""
"5984","V04CX","OTHER DIAGNOSTIC AGENTS","36:89.00*","OTHER DIAGNOSTICS","",""
"5997","S01FA04","CYCLOPENTOLATE","52:24.00","MYDRIATICS","",""
"5998","S01FA04","CYCLOPENTOLATE","52:24.00","MYDRIATICS","",""
"6056","S01FA06","TROPICAMIDE","52:24.00","MYDRIATICS","",""
"6054","S01FA06","TROPICAMIDE","52:24.00","MYDRIATICS","",""
"6055","S01AB04","SULFACETAMIDE","52:04.04","ANTIBACTERIALS","",""
"6088","C01BA02","PROCAINAMIDE","24:04.04.04","CLASS IA ANTIARRYTHMICS","",""
"6105","S01HA04","PROXYMETACAINE","52:16.00","LOCAL ANESTHETICS","",""
"6260","B05BA03","CARBOHYDRATES","40:20.00","CALORIC AGENTS","",""
"6262","B03BA01","CYANOCOBALAMIN","88:08.00","VITAMIN B COMPLEX","",""
"6321","M01AE01","IBUPROFEN","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"6363","S01AA01","CHLORAMPHENICOL","52:04.04","ANTIBACTERIALS","",""
"6359","V04CX","OTHER DIAGNOSTIC AGENTS","36:89.00*","OTHER DIAGNOSTICS","",""
"6360","B05CB10","COMBINATIONS","40:36.00","IRRIGATING SOLUTIONS","",""
"6361","S01FB01","PHENYLEPHRINE","52:24.00","MYDRIATICS","",""
"6364","S03BA01","DEXAMETHASONE","52:08.08","CORTICOSTEROIDS","",""
"6365","S01CA02","PREDNISOLONE AND ANTIINFECTIVES","52:04.08","SULFONAMIDES","",""
"6365","S01CA02","PREDNISOLONE AND ANTIINFECTIVES","52:08.08","CORTICOSTEROIDS","",""
"6392","N04AA04","PROCYCLIDINE","28:36.08","ANTICHOLINERGIC AGENTS","",""
"6393","A07BA01","MEDICINAL CHARCOAL","56:04.00","ANTACIDS AND ADSORBENTS","",""
"6394","N04AA04","PROCYCLIDINE","28:36.08","ANTICHOLINERGIC AGENTS","",""
"6422","J01CE02","PHENOXYMETHYLPENICILLIN","08:12.16.04","NATURAL PENICILLINS","",""
"6423","J01CE02","PHENOXYMETHYLPENICILLIN","08:12.16.04","NATURAL PENICILLINS","",""
"6685","C07AA05","PROPRANOLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"6690","N02AA01","MORPHINE","28:08.08","OPIATE AGONISTS","",""
"6752","J04AC01","ISONIAZID","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"6721","S01JA51","FLUORESCEIN, COMBINATIONS","52:16.00","LOCAL ANESTHETICS","",""
"6721","S01JA51","FLUORESCEIN, COMBINATIONS","36:58.00","OCULAR DISORDERS","",""
"6722","S01JA01","FLUORESCEIN","36:58.00","OCULAR DISORDERS","",""
"6751","N05CD01","FLURAZEPAM","28:24.08","BENZODIAZEPINES","",""
"6772","S01GA01","NAPHAZOLINE","52:32.00","VASOCONSTRICTORS","",""
"6773","S01GA55","PHENYLEPHRINE, COMBINATIONS","52:32.00","VASOCONSTRICTORS","",""
"6773","S01GA55","PHENYLEPHRINE, COMBINATIONS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"7083","D08AX07","SODIUM HYPOCHLORITE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"7151","C01BA02","PROCAINAMIDE","24:04.04.04","CLASS IA ANTIARRYTHMICS","",""
"7309","A11GA01","ASCORBIC ACID (VIT C)","88:12.00","VITAMIN C","",""
"7318","L01BC01","CYTARABINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"7319","L01BC01","CYTARABINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"7632","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"7520","G04BD02","FLAVOXATE","86:12.04","Antimuscarinics","",""
"8170","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"8116","A06AA02","DOCUSATE SODIUM","56:12.00","CATHARTICS AND LAXATIVES","",""
"8120","N02AB02","PETHIDINE","28:08.08","OPIATE AGONISTS","",""
"8171","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"8172","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"8203","S01AD02","TRIFLURIDINE","52:04.20","ANTIVIRALS","",""
"8214","N05AB03","PERPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"8215","N05AB03","PERPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"8216","N05AB03","PERPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"8217","N04AA01","TRIHEXYPHENIDYL","28:36.08","ANTICHOLINERGIC AGENTS","",""
"8218","N04AA01","TRIHEXYPHENIDYL","28:36.08","ANTICHOLINERGIC AGENTS","",""
"8219","N05AB03","PERPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"8276","V07AB","SOLVENTS AND DILUTING AGENTS,INCL IRRIGAT SOLUT","40:50.00*","DILUENTS","",""
"8324","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"8429","","","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"8468","V03AE01","POLYSTYRENE SULPHONATE","40:18.18","POTASSIUM-REMOVING AGENTS","",""
"8487","N02AB02","PETHIDINE","28:08.08","OPIATE AGONISTS","",""
"8558","N05AD01","HALOPERIDOL","28:16.08.08","BUTYROPHENONES","",""
"8563","R01AX10","VARIOUS","52:92.00","EENT DRUGS, MISCELLANEOUS","",""
"8565","N05AB03","PERPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"8566","N05BB01","HYDROXYZINE","28:24.92","MISCELLANEOUS ANXIOLYTICS SEDATIVES AND HYPNOTICS","",""
"8576","M03BA03","METHOCARBAMOL","12:20.04","CENTRALLY ACTING SKELETAL MUSCLE RELAXANTS","",""
"8588","A02BA01","CIMETIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"8594","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS","",""
"8916","A02BA04","NIZATIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"8958","S01ED01","TIMOLOL","52:40.08","BETA-ADRENERGIC AGENTS","",""
"8975","D07AC04","FLUOCINOLONE ACETONIDE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"8978","D01AA01","NYSTATIN","84:04.08.28","POLYENES","",""
"9011","A06AB02","BISACODYL","56:12.00","CATHARTICS AND LAXATIVES","",""
"9130","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"9273","D07AC04","FLUOCINOLONE ACETONIDE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"9353","N05BA04","OXAZEPAM","28:24.08","BENZODIAZEPINES","",""
"9278","D07AB09","TRIAMCINOLONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"9280","D07AB09","TRIAMCINOLONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"9325","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E","",""
"9447","D07AC04","FLUOCINOLONE ACETONIDE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"9543","R05DA09","DEXTROMETHORPHAN","48:08.00","ANTITUSSIVES","",""
"9562","N05BA04","OXAZEPAM","28:24.08","BENZODIAZEPINES","",""
"9563","N05BA04","OXAZEPAM","28:24.08","BENZODIAZEPINES","",""
"9564","N05AB04","PROCHLORPERAZINE","28:16.08.24","PHENOTHIAZINES","",""
"9565","N05AB04","PROCHLORPERAZINE","28:16.08.24","PHENOTHIAZINES","",""
"9613","H02AB02","DEXAMETHASONE","68:04.00","ADRENALS","",""
"9616","S03BA01","DEXAMETHASONE","52:08.08","CORTICOSTEROIDS","",""
"9629","N05AB04","PROCHLORPERAZINE","28:16.08.24","PHENOTHIAZINES","",""
"9700","B05AA01","ALBUMIN","16:00.00","BLOOD DERIVATIVES","",""
"9740","B05AA01","ALBUMIN","16:00.00","BLOOD DERIVATIVES","",""
"9782","A06AA02","DOCUSATE SODIUM","56:12.00","CATHARTICS AND LAXATIVES","",""
"9812","A06AA02","DOCUSATE SODIUM","56:12.00","CATHARTICS AND LAXATIVES","",""
"9814","J01AA02","DOXYCYCLINE","08:12.24","TETRACYCLINES","",""
"9819","S01JA02","ROSE BENGAL SODIUM","36:89.00*","OTHER DIAGNOSTICS","",""
"9941","R03AC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS","",""
"9972","N05AB04","PROCHLORPERAZINE","28:16.08.24","PHENOTHIAZINES","",""
"10054","R05DA09","DEXTROMETHORPHAN","48:08.00","ANTITUSSIVES","",""
"10062","S03AA30","ANTIINFECTIVES, COMBINATIONS","52:04.04","ANTIBACTERIALS","",""
"10128","P02CC01","PYRANTEL","08:08.00","ANTHELMINTICS","",""
"10136","M01AE03","KETOPROFEN","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"10177","D08AC02","CHLORHEXIDINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10200","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"10316","A06AA02","DOCUSATE SODIUM","56:12.00","CATHARTICS AND LAXATIVES","",""
"10435","A07AA02","NYSTATIN","08:14.28","POLYENES","",""
"10451","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"10486","R06AA02","DIPHENHYDRAMINE","04:04.04","ETHANOLAMINE DERIVATIVES","",""
"10490","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10495","A03FA01","METOCLOPRAMIDE","56:32.00","PROKINETIC AGENTS","",""
"10496","A03FA01","METOCLOPRAMIDE","56:32.00","PROKINETIC AGENTS","",""
"10535","J01EE01","SULFAMETHOXAZOLE AND TRIMETHOPRIM","08:12.20","SULFONAMIDES","",""
"10569","A06AA02","DOCUSATE SODIUM","56:12.00","CATHARTICS AND LAXATIVES","",""
"10602","S01AA09","TETRACYCLINE","52:04.04","ANTIBACTERIALS","",""
"10705","C01DA02","GLYCERYL TRINITRATE","24:12.08","NITRATES AND NITRITES","",""
"10708","N07AB02","BETHANECHOL","12:04.00","PARASYMPATHOMEMETIC (CHOLINERGIC) AGENTS","",""
"10709","N07AB02","BETHANECHOL","12:04.00","PARASYMPATHOMEMETIC (CHOLINERGIC) AGENTS","",""
"10710","N07AB02","BETHANECHOL","12:04.00","PARASYMPATHOMEMETIC (CHOLINERGIC) AGENTS","",""
"10711","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"10712","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"10834","A10BB01","GLIBENCLAMIDE","68:20.20","SULFONYLUREAS","",""
"10873","D08AG","IODINE PRODUCTS","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10876","N07AA01","NEOSTIGMINE","12:04.00","PARASYMPATHOMEMETIC (CHOLINERGIC) AGENTS","",""
"10877","N07AA01","NEOSTIGMINE","12:04.00","PARASYMPATHOMEMETIC (CHOLINERGIC) AGENTS","",""
"10883","G03CA57","CONJUGATED ESTROGENS","68:16.04","ESTROGENS","",""
"10884","G03CA57","CONJUGATED ESTROGENS","68:16.04","ESTROGENS","",""
"10885","G03CA57","CONJUGATED ESTROGENS","68:16.04","ESTROGENS","",""
"10886","G03CA57","CONJUGATED ESTROGENS","68:16.04","ESTROGENS","",""
"10887","G03CA57","CONJUGATED ESTROGENS","68:16.04","ESTROGENS","",""
"10909","C02AC01","CLONIDINE","24:08.16","CENTRAL ALPHA-AGONISTS","",""
"10910","C02AC01","CLONIDINE","24:08.16","CENTRAL ALPHA-AGONISTS","",""
"10924","B05BA03","CARBOHYDRATES","40:20.00","CALORIC AGENTS","",""
"10926","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10927","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10928","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10929","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10930","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10931","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10932","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10933","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10934","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10935","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"10936","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
