"10","N05CA06","SECOBARBITAL","28:24.04","BARBITURATES","",""
"10187","A06AB56","SENNA GLYCOSIDES, COMBINATIONS","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
"10189","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"1019","N05AC03","MESORIDAZINE","28:16.08.24","PHENOTHIAZINES","",""
"10190","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E","",""
"10192","","","56:24.00","LIPOTROPIC AGENTS","",""
"10193","R05FA02","OPIUM DERIVATIVES AND EXPECTORANTS","48:08.00","ANTITUSSIVES","",""
"10194","N02BA51","ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS","34:00.00","DENTAL AGENTS","",""
"10197","A07BC04","ATTAPULGITE","56:08.00","ANTIDIARRHEA AGENTS","",""
"10198","A07BC04","ATTAPULGITE","56:08.00","ANTIDIARRHEA AGENTS","",""
"102","V03AB04","PRALIDOXIME","92:12.00","ANTIDOTES","",""
"10201","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"10203","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"10204","N05BE01","BUSPIRONE","28:24.92","MISCELLANEOUS ANXIOLYTICS SEDATIVES AND HYPNOTICS","",""
"10208","A02BA02","RANITIDINE","56:28.12","HISTAMINE H2-ANTAGONISTS","",""
"10209","R03AC02","SALBUTAMOL","12:12.08.12","SELECTIVE BETA 2-ADRENERGIC AGONISTS","",""
"1021","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E","",""
"10211","D07AC01","BETAMETHASONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"10212","R05FA02","OPIUM DERIVATIVES AND EXPECTORANTS","48:08.00","ANTITUSSIVES","",""
"10213","D08AC02","CHLORHEXIDINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"10214","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10215","A11JC","VITAMINS, OTHER COMBINATIONS","88:20.00","VITAMIN E","",""
"10215","A11JC","VITAMINS, OTHER COMBINATIONS","88:30.00*","OTHER NUTRITIONAL AGENTS","",""
"10218","V08BA01","BARIUM SULPHATE WITH SUSPENDING AGENTS","36:68.00","ROENTGENOGRAPHY","",""
"1022","D07AC04","FLUOCINOLONE ACETONIDE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"10220","QA07BC30","COMBINATIONS","","","",""
"10227","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10228","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10229","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10230","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10231","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10232","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10233","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10234","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10235","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10236","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10237","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10238","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10239","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1024","D04AB01","LIDOCAINE","84:08.00","ANTIPRURITICS AND LOCAL ANESTHETICS","",""
"10240","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10241","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10242","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10243","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10244","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10245","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10246","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10247","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10248","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10249","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10250","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10251","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10252","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10253","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10254","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10255","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10256","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10257","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10258","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10259","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1026","N02BA71","ACETYLSALICYLIC ACID, COMB WITH PSYCHOLEPTICS","28:08.04.24","SALICYLATES","",""
"10260","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10261","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10262","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10263","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10264","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10265","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10266","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10267","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10268","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10269","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10270","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10271","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10272","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10273","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10274","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10275","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10276","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10277","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10278","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10279","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10280","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10281","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10282","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10283","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10284","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10285","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10286","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10287","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10288","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10289","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1029","D03BA","PROTEOLYTIC ENZYMES","84:92.00","MISC. SKIN AND MUCOUS MEMBRANE AGENTS","",""
"10290","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10291","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10292","D11AA","ANTIHIDROTICS","84:12.00","ASTRINGENTS AND DEODORANTS","",""
"10296","R03BB01","IPRATROPIUM BROMIDE","12:08.08","ANTIMUSCARINICS ANTISPASMODICS","",""
"10297","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10298","R01AX30","COMBINATIONS","52:92.00","EENT DRUGS, MISCELLANEOUS","",""
"10299","R01AX30","COMBINATIONS","52:92.00","EENT DRUGS, MISCELLANEOUS","",""
"1030","N06AA02","IMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"10301","A03FA02","CISAPRIDE","56:32.00","PROKINETIC AGENTS","",""
"10302","N05BA12","ALPRAZOLAM","28:24.08","BENZODIAZEPINES","",""
"10303","N05BA12","ALPRAZOLAM","28:24.08","BENZODIAZEPINES","",""
"10304","L01BA01","METHOTREXATE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"10307","A07CA","ORAL REHYDRATION SALT FORMULATIONS","40:12.00","REPLACEMENT PREPARATIONS","",""
"1031","N06AA02","IMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"10311","M01CB04","AUROTHIOGLUCOSE","60:00.00","GOLD COMPOUNDS","",""
"10315","J05AB06","GANCICLOVIR","08:18.32","NUCLEOSIDES AND NUCLEOTIDES","",""
"10317","D02AB","ZINC PRODUCTS","84:24.12","BASIC OINTMENTS AND PROTECTANTS","",""
"10319","A11JA","COMBINATIONS OF VITAMINS","88:28.00","MULTIVITAMIN PREPARATIONS","",""
"1032","N06AA02","IMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"10320","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10321","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10322","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10323","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10324","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10325","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10326","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10327","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10328","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10329","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1033","J01XD01","METRONIDAZOLE","08:30.92","MISCELLANEOUS ANTIPROTOZOALS","",""
"10330","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10331","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10332","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10333","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10334","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10335","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10336","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10337","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10338","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10339","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1034","A11EB","VITAMIN B-COMPLEX WITH VITAMIN C","88:08.00","VITAMIN B COMPLEX","",""
"1034","A11EB","VITAMIN B-COMPLEX WITH VITAMIN C","88:12.00","VITAMIN C","",""
"10340","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10341","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10342","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10343","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10344","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10345","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10346","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10347","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10348","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10349","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1035","J04BA02","DAPSONE","08:16.92","MISCELLANEOUS ANTIMYCOBACTERIALS","",""
"10350","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10351","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10352","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10353","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10354","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10355","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10356","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10357","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10358","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10359","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10360","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10361","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10362","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10363","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10364","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10365","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10366","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10367","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10368","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10369","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10370","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10371","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10372","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10373","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10374","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10375","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10376","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10377","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10378","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"10379","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"1038","C01BA01","QUINIDINE","24:04.04.04","CLASS IA ANTIARRYTHMICS","",""
"10380","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"10381","QS03CA04","HYDROCORTISONE AND ANTIINFECTIVES","","","",""
"10384","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"10385","L01AA01","CYCLOPHOSPHAMIDE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"10386","L01AA01","CYCLOPHOSPHAMIDE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"10388","A11CA02","BETA-CAROTENE","88:04.00","VITAMIN A","",""
"10389","A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"1039","","","92:01.00*","HERBS AND NATURAL PRODUCTS","",""
