"9","H03BB02","THIAMAZOLE","68:36.08","ANTITHYROID AGENTS","",""
"250","L01DA01","DACTINOMYCIN","10:00.00","ANTINEOPLASTIC AGENTS","",""
"254","S01FA01","ATROPINE","52:24.00","MYDRIATICS","",""
"259","S01CA01","DEXAMETHASONE AND ANTIINFECTIVES","52:04.04","ANTIBACTERIALS","",""
"259","S01CA01","DEXAMETHASONE AND ANTIINFECTIVES","52:08.08","CORTICOSTEROIDS","",""
"260","S01FA06","TROPICAMIDE","52:24.00","MYDRIATICS","",""
"287","M01CC01","PENICILLAMINE","64:00.00","HEAVY METAL ANTAGONISTS","",""
"290","P01BC01","QUININE","08:30.08","ANTIMALARIALS","",""
"316","N05BB01","HYDROXYZINE","28:24.92","MISCELLANEOUS ANXIOLYTICS SEDATIVES AND HYPNOTICS","",""
"354","H02AB01","BETAMETHASONE","68:04.00","ADRENALS","",""
"405","N03AA02","PHENOBARBITAL","28:12.04","BARBITURATES","",""
"405","N03AA02","PHENOBARBITAL","28:24.04","BARBITURATES","",""
"406","N03AA02","PHENOBARBITAL","28:12.04","BARBITURATES","",""
"406","N03AA02","PHENOBARBITAL","28:24.04","BARBITURATES","",""
"407","N03AA02","PHENOBARBITAL","28:12.04","BARBITURATES","",""
"407","N03AA02","PHENOBARBITAL","28:24.04","BARBITURATES","",""
"408","N03AA02","PHENOBARBITAL","28:12.04","BARBITURATES","",""
"408","N03AA02","PHENOBARBITAL","28:24.04","BARBITURATES","",""
"415","N02CA01","DIHYDROERGOTAMINE","12:16.00","SYMPATHOLYTIC (ADRENERGIC BLOCKING) AGENTS","",""
"430","G03DA02","MEDROXYPROGESTERONE","68:32.00","PROGESTINS","",""
"431","J01XX10","BACITRACIN","84:04.04","ANTIBIOTICS","",""
"431","J01XX10","BACITRACIN","08:12.28.08","BACITRACINS","",""
"432","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"433","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"507","H02AB07","PREDNISONE","68:04.00","ADRENALS","",""
"577","R06AA02","DIPHENHYDRAMINE","56:22.08","ANTIHISTAMINES","",""
"579","R06AB04","CHLORPHENIRAMINE","04:04.20","PROPYLAMINE DERIVATIVES","",""
"585","N01BB02","LIDOCAINE","72:00.00","LOCAL ANESTHETICS","",""
"587","N01BB02","LIDOCAINE","72:00.00","LOCAL ANESTHETICS","",""
"589","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"590","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"613","N03AB02","PHENYTOIN","28:12.12","HYDANTOINS","",""
"615","C03CC01","ETACRYNIC ACID","40:28.08","LOOP DIURETICS","",""
"631","D07CB05","FLUMETASONE AND ANTIBIOTICS","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"631","D07CB05","FLUMETASONE AND ANTIBIOTICS","84:04.08.92","MISCELLANEOUS ANTIFUNGALS","",""
"635","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"636","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"651","P01BC01","QUININE","08:30.08","ANTIMALARIALS","",""
"682","P01BA01","CHLOROQUINE","08:30.08","ANTIMALARIALS","",""
"690","C04AE01","ERGOLOID MESYLATES","12:16.00","SYMPATHOLYTIC (ADRENERGIC BLOCKING) AGENTS","",""
"721","A06AA01","LIQUID PARAFFIN","56:12.00","CATHARTICS AND LAXATIVES","",""
"728","A03CA02","CLIDINIUM AND PSYCHOLEPTICS","12:08.08","ANTIMUSCARINICS ANTISPASMODICS","",""
"728","A03CA02","CLIDINIUM AND PSYCHOLEPTICS","28:24.08","BENZODIAZEPINES","",""
"731","N03AD01","ETHOSUXIMIDE","28:12.20","SUCCINIMIDES","",""
"769","N03AB02","PHENYTOIN","28:12.12","HYDANTOINS","",""
"771","N03AD01","ETHOSUXIMIDE","28:12.20","SUCCINIMIDES","",""
"772","H03AA05","THYROID GLAND PREPARATIONS","68:36.04","THYROID AGENTS","",""
"773","H03AA05","THYROID GLAND PREPARATIONS","68:36.04","THYROID AGENTS","",""
"774","H03AA05","THYROID GLAND PREPARATIONS","68:36.04","THYROID AGENTS","",""
"777","N03AF01","CARBAMAZEPINE","28:12.92","MISCELLANEOUS ANTICONVULSANTS","",""
"778","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS","",""
"780","S01FA06","TROPICAMIDE","52:24.00","MYDRIATICS","",""
"789","H02AB04","METHYLPREDNISOLONE","68:04.00","ADRENALS","",""
"793","S01XA20","ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS.","52:13.00*","ARTIFICIAL TEARS","",""
"794","S01XA20","ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS.","52:13.00*","ARTIFICIAL TEARS","",""
"800","N06BA04","METHYLPHENIDATE","28:20.32","Respiratory and CNS Stimulants","",""
"810","D07CA01","HYDROCORTISONE AND ANTIBIOTICS","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"810","D07CA01","HYDROCORTISONE AND ANTIBIOTICS","84:04.08.92","MISCELLANEOUS ANTIFUNGALS","",""
"812","C03AA03","HYDROCHLOROTHIAZIDE","40:28.20","THIAZIDE DIURETICS","",""
"816","D07CC01","BETAMETHASONE AND ANTIBIOTICS","84:04.04","ANTIBIOTICS","",""
"816","D07CC01","BETAMETHASONE AND ANTIBIOTICS","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"817","B05XA03","SODIUM CHLORIDE","40:12.00","REPLACEMENT PREPARATIONS","",""
"868","S02CA02","FLUMETASONE AND ANTIINFECTIVES","52:04.04","ANTIBACTERIALS","",""
"868","S02CA02","FLUMETASONE AND ANTIINFECTIVES","52:08.08","CORTICOSTEROIDS","",""
"872","N02AA79","CODEIN, COMBINATIONS WITH PSYCHOLEPTICS","28:08.08","OPIATE AGONISTS","",""
"872","N02AA79","CODEIN, COMBINATIONS WITH PSYCHOLEPTICS","28:24.04","BARBITURATES","",""
"873","N02AA79","CODEIN, COMBINATIONS WITH PSYCHOLEPTICS","28:08.08","OPIATE AGONISTS","",""
"873","N02AA79","CODEIN, COMBINATIONS WITH PSYCHOLEPTICS","28:24.04","BARBITURATES","",""
"874","J01FF01","CLINDAMYCIN","08:12.28.20","LINCOMYCINS","",""
"891","C01DA02","GLYCERYL TRINITRATE","24:12.08","NITRATES AND NITRITES","",""
"899","V08AA04","IOTALAMIC ACID","36:68.00","ROENTGENOGRAPHY","",""
"933","J02AA01","AMPHOTERICIN B","08:14.28","POLYENES","",""
"934","S01GA01","NAPHAZOLINE","52:32.00","VASOCONSTRICTORS","",""
"937","A07DA01","DIPHENOXYLATE","56:08.00","ANTIDIARRHEA AGENTS","",""
"938","L01XB01","PROCARBAZINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"940","C01CA24","EPINEPHRINE","12:12.12","ALPHA-AND BETA-ADRENERGIC AGONISTS","",""
"943","R05DA04","CODEINE","28:08.08","OPIATE AGONISTS","",""
"944","N06AA12","DOXEPIN","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"945","N06AA12","DOXEPIN","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"946","N06AA12","DOXEPIN","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"959","L01AB01","BUSULFAN","10:00.00","ANTINEOPLASTIC AGENTS","",""
"960","L01BB02","MERCAPTOPURINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"1016","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"1036","N03AB02","PHENYTOIN","28:12.12","HYDANTOINS","",""
"1037","N03AB02","PHENYTOIN","28:12.12","HYDANTOINS","",""
"1084","B01AA07","ACENOCOUMAROL","20:12.04.08","COUMARIN DERIVATIVES","",""
"1086","N03AB02","PHENYTOIN","28:12.12","HYDANTOINS","",""
"1090","R02AA20","VARIOUS","52:92.00","EENT DRUGS, MISCELLANEOUS","",""
"1103","S02DC","INDIFFERENT PREPARATIONS","52:92.00","EENT DRUGS, MISCELLANEOUS","",""
"1118","B01AA07","ACENOCOUMAROL","20:12.04.08","COUMARIN DERIVATIVES","",""
"1124","J01CA01","AMPICILLIN","08:12.16.08","AMINOPENICILLINS","",""
"1125","J01CA01","AMPICILLIN","08:12.16.08","AMINOPENICILLINS","",""
"1130","H02AB04","METHYLPREDNISOLONE","68:04.00","ADRENALS","",""
"1132","H02AB04","METHYLPREDNISOLONE","68:04.00","ADRENALS","",""
"1134","H02AB04","METHYLPREDNISOLONE","68:04.00","ADRENALS","",""
"1172","S01HA04","PROXYMETACAINE","52:16.00","LOCAL ANESTHETICS","",""
"1181","B05BC01","MANNITOL","40:28.12","OSMOTIC DIURETICS","",""
"1192","L04AX01","AZATHIOPRINE","92:44.00","IMMUNOSUPPRESSIVE AGENTS","",""
"1193","L01AA02","CHLORAMBUCIL","10:00.00","ANTINEOPLASTIC AGENTS","",""
"1195","L01AA03","MELPHALAN","10:00.00","ANTINEOPLASTIC AGENTS","",""
"1214","N01AX03","KETAMINE","28:04.92","MISCELLANEOUS GENERAL ANESTHETICS","",""
"1215","N01AX03","KETAMINE","28:04.92","MISCELLANEOUS GENERAL ANESTHETICS","",""
"1225","J01FF01","CLINDAMYCIN","08:12.28.20","LINCOMYCINS","",""
"1233","N02BA71","ACETYLSALICYLIC ACID, COMB WITH PSYCHOLEPTICS","28:24.04","BARBITURATES","",""
"1233","N02BA71","ACETYLSALICYLIC ACID, COMB WITH PSYCHOLEPTICS","28:08.04.24","SALICYLATES","",""
"1235","M02AX10","VARIOUS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"1239","B05CB01","SODIUM CHLORIDE","40:36.00","IRRIGATING SOLUTIONS","",""
"1253","C01DA02","GLYCERYL TRINITRATE","24:12.08","NITRATES AND NITRITES","",""
"1254","C01DA02","GLYCERYL TRINITRATE","24:12.08","NITRATES AND NITRITES","",""
"1256","R06AA02","DIPHENHYDRAMINE","56:22.08","ANTIHISTAMINES","",""
"1275","G03BA03","TESTOSTERONE","68:08.00","ANDROGENS","",""
"1281","A06AA51","LIQUID PARAFFIN, COMBINATIONS","56:12.00","CATHARTICS AND LAXATIVES","",""
"1285","D07CC01","BETAMETHASONE AND ANTIBIOTICS","84:04.04","ANTIBIOTICS","",""
"1285","D07CC01","BETAMETHASONE AND ANTIBIOTICS","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"1286","H02AB07","PREDNISONE","68:04.00","ADRENALS","",""
"1290","G03AC01","NORETHISTERONE","68:12.00","CONTRACEPTIVES","",""
"1293","N05AA01","CHLORPROMAZINE","28:16.08.24","PHENOTHIAZINES","",""
"1294","N05AA01","CHLORPROMAZINE","28:16.08.24","PHENOTHIAZINES","",""
"1295","N05AA01","CHLORPROMAZINE","28:16.08.24","PHENOTHIAZINES","",""
"1327","N05AN01","LITHIUM","28:28.00","ANTIMANIC AGENTS","",""
"1394","D10AA02","METHYLPREDNISOLONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"1394","D10AA02","METHYLPREDNISOLONE","84:28.00","KERATOLYTIC AGENTS","",""
"1396","H02AB04","METHYLPREDNISOLONE","68:04.00","ADRENALS","",""
"1397","H02AB04","METHYLPREDNISOLONE","68:04.00","ADRENALS","",""
"1398","G03BA03","TESTOSTERONE","68:08.00","ANDROGENS","",""
"1401","G03DC02","NORETHISTERONE","68:32.00","PROGESTINS","",""
"1403","C03DA01","SPIRONOLACTONE","24:32.20","MINERALOCORTICOID (ALDOSTERONE) RECEPTOR ANTAGONISTS","",""
"1470","S01BA07","FLUOROMETHOLONE","52:08.08","CORTICOSTEROIDS","",""
"1471","J04AK02","ETHAMBUTOL","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"1472","J04AK02","ETHAMBUTOL","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"1508","R01AA14","EPINEPHRINE","52:32.00","VASOCONSTRICTORS","",""
"1530","S01FA04","CYCLOPENTOLATE","52:24.00","MYDRIATICS","",""
"1553","A06AB02","BISACODYL","56:12.00","CATHARTICS AND LAXATIVES","",""
"1555","A06AB02","BISACODYL","56:12.00","CATHARTICS AND LAXATIVES","",""
"1619","H02BX01","METHYLPREDNISOLONE, COMBINATIONS","68:04.00","ADRENALS","",""
"1620","J01FF01","CLINDAMYCIN","08:12.28.20","LINCOMYCINS","",""
"1628","B05BB01","ELECTROLYTES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1649","A09AA02","MULTIENZYMES (LIPASE, PROTEASE ETC)","56:16.00","DIGESTANTS","",""
"1667","D05AA","TARS","84:28.00","KERATOLYTIC AGENTS","",""
"1667","D05AA","TARS","84:32.00","KERATOPLASTIC AGENTS","",""
"1668","D08AE04","TRICLOSAN","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"1673","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1734","V07AB","SOLVENTS AND DILUTING AGENTS,INCL IRRIGAT SOLUT","40:50.00*","DILUENTS","",""
"1736","B05XA03","SODIUM CHLORIDE","40:12.00","REPLACEMENT PREPARATIONS","",""
"1738","B05BB01","ELECTROLYTES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1740","B05BC01","MANNITOL","40:28.12","OSMOTIC DIURETICS","",""
"1743","B05AA55","DEXTRAN,COMBINATIONS","40:12.00","REPLACEMENT PREPARATIONS","",""
"1744","B05AA55","DEXTRAN,COMBINATIONS","40:12.00","REPLACEMENT PREPARATIONS","",""
"1745","B05BB01","ELECTROLYTES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1746","B05BA03","CARBOHYDRATES","40:20.00","CALORIC AGENTS","",""
"1747","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1748","B05BA03","CARBOHYDRATES","40:20.00","CALORIC AGENTS","",""
"1750","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1751","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"1802","H02AB10","CORTISONE","68:04.00","ADRENALS","",""
"1812","L01BB03","TIOGUANINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"1830","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"1857","A03AA07","DICYCLOVERINE","12:08.08","ANTIMUSCARINICS ANTISPASMODICS","",""
"1889","A03AX13","SILICONES","56:10.00","ANTIFLATULENTS","",""
"1905","B05XA02","SODIUM BICARBONATE","40:08.00","ALKALINIZING AGENTS","",""
"1911","V07AB","SOLVENTS AND DILUTING AGENTS,INCL IRRIGAT SOLUT","40:50.00*","DILUENTS","",""
"1912","V07AB","SOLVENTS AND DILUTING AGENTS,INCL IRRIGAT SOLUT","40:50.00*","DILUENTS","",""
"1913","V01AA20","VARIOUS","92:05.00*","ALLERGENIC EXTRACTS","",""
"1914","V01AA20","VARIOUS","92:05.00*","ALLERGENIC EXTRACTS","",""
"1922","G03AA05","NORETHISTERONE AND ESTROGEN","68:12.00","CONTRACEPTIVES","",""
"1931","M04AC01","COLCHICINE","92:16.00","ANTIGOUT AGENTS","",""
"1936","S01BA04","PREDNISOLONE","52:08.08","CORTICOSTEROIDS","",""
"1937","S01BA04","PREDNISOLONE","52:08.08","CORTICOSTEROIDS","",""
"1954","H01AA02","TETRACOSACTIDE","36:04.00","ADRENOCORTICAL INSUFFICIENCY","",""
"1954","H01AA02","TETRACOSACTIDE","68:28.00","PITUITARY","",""
"2039","N06AA04","CLOMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2049","N06AA12","DOXEPIN","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2071","D07AC01","BETAMETHASONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"2087","V04CF01","TUBERCULIN","36:84.00","TUBERCULOSIS","",""
"2092","A10BB03","TOLBUTAMIDE","68:20.20","SULFONYLUREAS","",""
"2093","J01XE01","NITROFURANTOIN","08:36.00","URINARY ANTI-INFECTIVES","",""
"2094","J01XE01","NITROFURANTOIN","08:36.00","URINARY ANTI-INFECTIVES","",""
"2119","A11JB","VITAMINS WITH MINERALS","","","",""
"2133","A06AB56","SENNA GLYCOSIDES, COMBINATIONS","56:12.00","CATHARTICS AND LAXATIVES","",""
"2138","L01BC02","FLUOROURACIL","84:92.00","MISC. SKIN AND MUCOUS MEMBRANE AGENTS","",""
"2142","N04BA02","LEVODOPA AND DECARBOXYLASE INHIBITOR","28:36.16","DOPAMINE PRECURSORS","",""
"2145","C03DA01","SPIRONOLACTONE","24:32.20","MINERALOCORTICOID (ALDOSTERONE) RECEPTOR ANTAGONISTS","",""
"2146","D06BA01","SILVER SULFADIAZINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"2148","R05CA10","COMBINATIONS","48:16.00","EXPECTORANTS","",""
"2150","R05CA10","COMBINATIONS","48:16.00","EXPECTORANTS","",""
"2153","L01AD01","CARMUSTINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"2164","N06AA04","CLOMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2175","V04CX","OTHER DIAGNOSTIC AGENTS","36:30.00","DRUG HYPERSENSITIVITY","",""
"2196","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2197","D05AA","TARS","84:32.00","KERATOPLASTIC AGENTS","",""
"2209","N05AB06","TRIFLUOPERAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2210","N05AB06","TRIFLUOPERAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2211","N06AA02","IMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2212","N06AA02","IMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2213","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2214","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2215","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2219","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"2220","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"2221","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"2222","H02AB09","HYDROCORTISONE","68:04.00","ADRENALS","",""
"2233","J01CF02","CLOXACILLIN","08:12.16.12","PENICILLINASE-RESISTANT PENICILLINS","",""
"2234","J01CF02","CLOXACILLIN","08:12.16.12","PENICILLINASE-RESISTANT PENICILLINS","",""
"2254","G03AA05","NORETHISTERONE AND ESTROGEN","68:12.00","CONTRACEPTIVES","",""
"2255","G03AA05","NORETHISTERONE AND ESTROGEN","68:12.00","CONTRACEPTIVES","",""
"2272","D07AC01","BETAMETHASONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"2300","N05AB06","TRIFLUOPERAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2308","N05AB06","TRIFLUOPERAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2317","D05AA","TARS","84:32.00","KERATOPLASTIC AGENTS","",""
"2333","C03CA01","FUROSEMIDE","40:28.08","LOOP DIURETICS","",""
"2365","N05AB03","PERPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2366","N05AB03","PERPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2367","N05AB03","PERPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2368","N05AB03","PERPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2374","S01EB01","PILOCARPINE","52:40.20","MIOTICS","",""
"2375","S01EB01","PILOCARPINE","52:40.20","MIOTICS","",""
"2386","G03AA05","NORETHISTERONE AND ESTROGEN","68:12.00","CONTRACEPTIVES","",""
"2390","A03BA01","ATROPINE","12:08.08","ANTIMUSCARINICS ANTISPASMODICS","",""
"2410","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"2423","S01CA01","DEXAMETHASONE AND ANTIINFECTIVES","52:04.04","ANTIBACTERIALS","",""
"2423","S01CA01","DEXAMETHASONE AND ANTIINFECTIVES","52:08.08","CORTICOSTEROIDS","",""
"2426","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2427","N06AA09","AMITRIPTYLINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2444","N06AA02","IMIPRAMINE","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2447","C03CA01","FUROSEMIDE","40:28.08","LOOP DIURETICS","",""
"2467","C03BA04","CHLORTALIDONE","40:28.24","THIAZIDE-LIKE DIURETICS","",""
"2470","C02AB02","METHYLDOPA (RACEMIC)","24:08.16","CENTRAL ALPHA-AGONISTS","",""
"2471","C02AB02","METHYLDOPA (RACEMIC)","24:08.16","CENTRAL ALPHA-AGONISTS","",""
"2472","C03CA01","FUROSEMIDE","40:28.08","LOOP DIURETICS","",""
"2481","A03BB01","BUTYLSCOPOLAMINE","12:08.08","ANTIMUSCARINICS ANTISPASMODICS","",""
"2483","A03BB01","BUTYLSCOPOLAMINE","12:08.08","ANTIMUSCARINICS ANTISPASMODICS","",""
"2506","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"2527","B05XA01","POTASSIUM CHLORIDE","40:12.00","REPLACEMENT PREPARATIONS","",""
"2530","L01AD02","LOMUSTINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"2531","L01AD02","LOMUSTINE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"2541","N01BB52","LIDOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"2545","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2568","N03AE01","CLONAZEPAM","28:12.08","BENZODIAZEPINES","",""
"2569","N03AE01","CLONAZEPAM","28:12.08","BENZODIAZEPINES","",""
"2570","V08AD01","ETHYL ESTERS OF IODISED FATTY ACIDS","36:68.00","ROENTGENOGRAPHY","",""
"2575","B05BB02","ELECTROLYTES WITH CARBOHYDRATES","40:12.00","REPLACEMENT PREPARATIONS","",""
"2620","S01BA01","DEXAMETHASONE","52:08.08","CORTICOSTEROIDS","",""
"2657","N05BA01","DIAZEPAM","28:24.08","BENZODIAZEPINES","",""
"2684","G02AD02","DINOPROSTONE","76:00.00","OXYTOCICS","",""
"2701","R06AA02","DIPHENHYDRAMINE","56:22.08","ANTIHISTAMINES","",""
"2723","N04BA02","LEVODOPA AND DECARBOXYLASE INHIBITOR","28:36.16","DOPAMINE PRECURSORS","",""
"2724","N04BA02","LEVODOPA AND DECARBOXYLASE INHIBITOR","28:36.16","DOPAMINE PRECURSORS","",""
"2743","N01BB03","MEPIVACAINE","72:00.00","LOCAL ANESTHETICS","",""
"2744","N01BB53","MEPIVACAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"2750","N03AA03","PRIMIDONE","28:12.04","BARBITURATES","",""
"2751","N03AA03","PRIMIDONE","28:12.04","BARBITURATES","",""
"2780","N06AA12","DOXEPIN","28:16.04.28","TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS","",""
"2787","R05CA10","COMBINATIONS","48:16.00","EXPECTORANTS","",""
"2789","J01BA01","CHLORAMPHENICOL","08:12.08","CHLORAMPHENICOL","",""
"2798","C03CA01","FUROSEMIDE","40:28.08","LOOP DIURETICS","",""
"2828","N01BB54","PRILOCAINE, COMBINATIONS","72:00.00","LOCAL ANESTHETICS","",""
"2851","C03CA01","FUROSEMIDE","40:28.08","LOOP DIURETICS","",""
"2858","N05AB02","FLUPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2860","N05AB02","FLUPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2861","N05AB02","FLUPHENAZINE","28:16.08.24","PHENOTHIAZINES","",""
"2863","J04AB02","RIFAMPICIN","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"2866","J04AB02","RIFAMPICIN","08:16.04","ANTITUBERCULOSIS AGENTS","",""
"2870","D07AC01","BETAMETHASONE","84:06.00","ANTI-INFLAMMATORY AGENTS","",""
"2890","R06AA02","DIPHENHYDRAMINE","56:22.08","ANTIHISTAMINES","",""
"2891","R06AA02","DIPHENHYDRAMINE","56:22.08","ANTIHISTAMINES","",""
"2901","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"2902","B05BA03","CARBOHYDRATES","40:20.00","CALORIC AGENTS","",""
